Brand,Price,Photo,Model Number,Made In,Warranty,Available Colors,Body Type,Engine Type,Engine Power,Torque,No. of Cylinders,Charger,Maximum Speed,Acceleration Time (0-100 kmph),Transmission Type,Drive Type,Gear Box,Steering Type,Steering Gear Type,Front Suspension,Back Suspension,Length,Width,Height,Wheel Base,Ground Clearance,Kerb Weight,Tyre Size,Wheel Size,Front Brake,Rear Brake,Mileage in City,Mileage on Highway,Fuel Type,Seating Capacity,Fuel Tank Capacity (Litres),No. of Doors,Air Conditioner,Heater,AntiLock Braking System,Central Locking,Power Steering,Power Windows,Leather Seats,Anti-Lock Braking,Brake Assist,Central Locking,Power Door Locks,Child Safety Locks,Night Rear View Mirror,Rear Seat Belts,Door Ajar Warning,Adjustable Seats,Crash Sensor,Engine Check Warning,Rear Camera,Anti-Theft Device,Touch Screen,Audio System Remote Control,Speakers Front & back,Bluetooth Connectivity,USB & Auxiliary Input,Adjustable Steering Column,Height Adjustable Driving Seat,Digital Clock,Smoke Headlamps,Electric Folding Rear View Mirror,Automatic Climate Control,Low Fuel Warning Light,Parking Sensors,Bottle Holder,Voice Control,Minimum Turning Radius,Tyre Type,Seat Belt Warning,Vehicle Stability Control System,Engine Immobilizer,Rear Reading Lamp,Fuel System,Radio,Outside Temperature Display,Valve Configuration,Fog Lights Front & Back,Centrally Mounted Fuel Tank,CD Player,DVD Player,Electric Adjustable Seats,Keyless Entry,Boot Space,Tyre Pressure Monitor,Smart Access Card Entry,Assembled In,Displacement (cc),Xenon Headlamps,Halogen Headlamps,Shock Absorbers Type,Removable/Convertible Top,Introduction Date,Cassette Player
Honda,"25,440",https://www.ccarprice.com/products/Honda_Civic_Sport_2023.jpg,Civic Sport 2023,Japan,"3 Years / 36,000 Miles Basic , 5 Years / Unlimited Miles Corrosion , 5 Years / 60,000 Miles Drivetrain , and 3 Years / 36,000 Miles Roadside Assistance warranty.","Aegean Blue Metallic, Cosmic Blue Metallic, Crystal Black Pearl, Lunar Silver Metallic, Modern Steel Metallic, Molten Lava Pearl, Platinum White Pearl, and Rallye Red.",Hatchback,2.0L Inline-4 Gas,158 hp @ 6500 rpm,138 lb-ft @ 4200 rpm,,,,,Continuously Variable Automatic (CVT),Front-Wheel Drive,,Power,Rack-Pinion,Strut,Multi-Link,179 in,70.9 in,55.7 in,107.7 in,5.2 in,"2,984 lbs",P235/40WR18,18 in x 8 in Aluminum Wheels,Discs,Discs,29 MPG,37 MPG,Petrol,5 seater,12.4 gallons,4 doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,38.1 ft,,Yes,Yes,Yes,Yes,,,Yes,,Yes,,,,,,,,,,,,,,,,
Honda,"29,990",https://www.ccarprice.com/products/Honda_CR_V_LX_2023.jpg,CR-V LX 2023,japan,"3 Years / 36000 Miles Basic , 5 Years / Unlimited Miles Corrosion , 5 Years / 60000 Miles Drivetrain , and 3 Years / 36000 Miles Roadside Assistance.","Crystal Black Pearl, Lunar Silver Metallic, and Platinum White Pearl.",SUV,1.5L Turbo Inline-4 Gas,190 hp @ 5600 rpm,179 lb-ft @ 2000 rpm,4,,,,Continuously Variable Automatic (CVT),Front-Wheel Drive,,Power,Rack-Pinion,"independent, Macpherson strut","independent, multi-link",182.1 in,73 in,66.1 in,104.8 in,6.2 in,"3,337 lbs",P235/65HR17,17 in x 7.5 in Aluminum Wheels,Discs,Discs,28 MPG,34 MPG,Gasoline,5 seater,14 gallons,4 doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,37.4 ft,,Yes,,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,
Honda,"65,000",https://www.ccarprice.com/products/Honda_Clarity_Fuel_Cell_2023.jpg,Clarity Fuel Cell 2023,japan,"3 Years / 36000 Miles Basic , 5 Years / Unlimited Miles Corrosion , 5 Years / 60000 Miles Drivetrain , 3 Years / 36000 Miles Roadside Assistance warranty","Crimson Pearl, Crystal Black Pearl, and Platinum White Pearl.",Sedan,Electric,174 hp @ 4501 rpm,221 lb-ft @ 3500 rpm,,,101MPH,0-60=5.8 s,Automatic,Front-Wheel Drive,Single Speed,Power,Rack-Pinion,Strut,Multi-Link,192.7 in,73.9 in,58.2 in,108.3 in,,"4,134 lbs",P235/45VR18,18 in x 8 in,Discs,Discs,68 MPGE,67 MPGE,Electric,5 seater,8.7 gallons,4 doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,38.4 ft,Alloy,Yes,Yes,,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,
Honda,"46,230",https://www.ccarprice.com/products/Honda_Ridgeline_Black_Edition_2023.jpg,Ridgeline Black Edition 2023,japan,"3 Years / 36,000 Miles Basic , 5 Years / Unlimited Miles Corrosion , 5 Years / 60,000 Miles Drivetrain , and 3 Years / 36,000 Miles Roadside Assistance warranty.","Crystal Black Pearl, and Platinum White Pearl.",SUV,3.5L V6 Gas,280 hp @ 6000 rpm,262 lb-ft @ 4700 rpm,6,,,,Automatic,All-Wheel Drive,9-Speed,Power,Rack-Pinion,,,210.2 in,78.6 in,70.8 in,125.2 in,,"4,510 lbs",P245/60HR18,19 in x 7.5 in,Disc,Disc,18 MPG,24 MPG,Petrol,5 seater,19.5 gallons,4 doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,43.4 ft,Tubeless,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,
Honda,"33,760",https://www.ccarprice.com/products/Honda_CR-V_EX-L_2023.jpg,CR-V EX-L 2023,japan,"3 Years / 36000 Miles Basic , 5 Years / Unlimited Miles Corrosion , 5 Years / 60000 Miles Drivetrain , and 3 Years / 36000 Miles Roadside Assistance.","Crystal Black Pearl, Lunar Silver Metallic, Modern Steel Metallic, Obsidian Blue Pearl, Platinum White Pearl, and Radiant Red Metallic.",SUV,1.5-liter Turbo Inline-4 Gas,190 hp @ 5600 rpm,179 lb-ft @ 2000 rpm,4,Turbo,,,Continuously Variable Automatic (CVT),Front-Wheel Drive,,Power,Rack-Pinion,"independent, Macpherson strut","independent, multi-link",184.8 in,73.5 in,66.2 in,106.3 in,,"3,525 lbs",P235/60HR18,18 in x 7.5 in Aluminum Wheels,Disc brakes,Disc brakes,28 City,34 Hwy,Petrol,5 seater,14 gallons,4 doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,37.4 ft,,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,
Honda,"31,070",https://www.ccarprice.com/products/Honda_Accord_Sport_SE_1_5T_2023.jpg,Accord Sport SE 1.5T 2023,japan,"Basic: 3 Years / 36000 Miles , Corrosion: 5 Years / Unlimited Miles , Drivetrain: 5 Years / 60000 Miles , and Roadside Assistance: 3 Years / 36000 Miles","Crystal Black Pearl, Lunar Silver Metallic, Modern Steel Metallic, Platinum White Pearl, and Radiant Red Metallic.",Sedan,1.5L Turbo Inline-4 Gas,192 hp @ 5500 rpm,192 lb-ft @ 1600 rpm,4,Turbo,,,Continuously Variable Automatic (CVT),Front-Wheel Drive,,Power,Rack-Pinion,Strut,Multi-Link,196.1 in,73.3 in,57.1 in,111.4 in,5.8 in,"3,230 lbs",P235/40VR19,19 in x 8.5 in Aluminum Wheels,Disc,Disc,29 City,35 Hwy,Gasoline,5 seater,14.8 gallons,4 doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,38.3 ft,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,
Honda,"33,950",https://www.ccarprice.com/products/Honda_CR_V_Hybrid_Sport_Touring_2023_1.jpg,CR-V Hybrid Sport Touring 2023,japan,"3 Years / 36000 Miles Basic , 5 Years / Unlimited Miles Corrosion , 5 Years / 60000 Miles Drivetrain , and 3 Years / 36000 Miles Roadside Assistance.","Crystal Black Pearl, Lunar Silver Metallic, Modern Steel Metallic, Obsidian Blue Pearl, Platinum White Pearl, and Radiant Red Metallic.",SUV,2.0L Inline-4 Hybrid,204 hp,247 lb-ft,4,,,,Continuously Variable Automatic (CVT),All-Wheel Drive,,Power,Rack-Pinion,,,TBC,TBC,TBC,TBC,,TBC,TBC,TBC,Disc,Disc,35 City,40 Hwy,Hybrid,5 seater,,4 doors,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,37.4 ft,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,,,Yes,,,,,,,,,,,,
Honda,"32,450",https://www.ccarprice.com/products/Honda_CR-V_Hybrid_Sport_2023.jpg,CR-V Hybrid Sport 2023,japan,"3 Years / 36000 Miles Basic , 5 Years / Unlimited Miles Corrosion , 5 Years / 60000 Miles Drivetrain , and 3 Years / 36000 Miles Roadside Assistance.","Crystal Black Pearl, Lunar Silver Metallic, Modern Steel Metallic, Obsidian Blue Pearl, Platinum White Pearl, and Radiant Red Metallic.",SUV,2.0L Inline-4 Hybrid,204 hp,247 lb-ft,4,,,,Continuously Variable Automatic (CVT),All-Wheel Drive,,Power,Rack-Pinion,,,TBC,TBC,TBC,TBC,,TBC,TBC,TBC,Disc,Disc,35 City,40 Hwy,Hybrid,5 seater,,4 doors,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,37.4 ft,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,,,Yes,,,,,,,,,,,,
Honda,"40,000",https://www.ccarprice.com/products/Honda_Pilot_2023_Specs.jpg,Pilot 2023,japan,"3 Years / 36000 Miles Basic , 5 Years / Unlimited Miles Corrosion , 5 Years / 60000 Miles Drivetrain , and 3 Years / 36000 Miles Roadside Assistance.","Crystal Black Pearl, Modern Steel Metallic, Lunar Silver Metallic, Platinum White Pearl",SUV,3.5L V6 Gas,280 hp @ 6000 rpm,262 lb-ft @ 4700 rpm,V6,,,,Automatic,All-Wheel Drive,9-Speed,Power,Rack-Pinion,Strut,Multi-Link,196.5 in,78.6 in,70.6 in,111 in,TBC,"4,321 lbs",P245/50HR20,20 in x 8 in Aluminum Wheels,Disc (ABS),Disc (ABS),19 MPG,26 MPG,Gasoline,8 seater,19.5 gallons,5 doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,Yes,,37.4 ft,,Yes,Yes,Yes,,,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,
Honda,"36,830",https://www.ccarprice.com/products/Honda_Pilot_2022.jpg,Pilot Sport 2022,japan,"3 Years / 36,000 Miles Basic , 5 Years / Unlimited Miles Corrosion , 5 Years / 60,000 Miles Drivetrain , and 3 Years / 36,000 Miles Roadside Assistance warranty","Crystal Black Pearl, Lunar Silver Metallic, Obsidian Blue Pearl, Platinum White Pearl, and Sonic Gray Pearl.",SUV,3.5L V6 Gas,280 hp @ 6000 rpm,262 lb-ft @ 4700 rpm,V6,,,,Automatic,Front-Wheel Drive,9-Speed,Power,Rack-Pinion,Strut,Multi-Link,196.5 in,78.6 in,70.6 in,111 in,,"4,030 lbs",P245/50HR20,20 in x 8 in Aluminum Wheels,Disc (ABS),Disc (ABS),20 MPG,27 MPG,Gasoline,8 seater,19.5 gallons,5 doors,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,37.8 ft,Tubeless,Yes,Yes,Yes,Yes,,Yes,,,Yes,,,Yes,,Yes,,Yes,,,,,,,,,
